PAG-OtPc8hVwbXaMyRuocshrq,CM-SU-000,ユーザー登録 メールアドレス入力,表示,page-signup
PAG-YM6rboAgsMZsgqgtDVyKU,CM-SU-010,ユーザー登録,実行,page-signup
PAG-CPEF2YjJ2stvELRgrKlyM,CM-SU-020,ユーザー登録 ログイン情報,入力,page-signup {signup_key}
PAG-Cwo04tE8yWG0qI34mS49s,CM-SU-021,,,
PAG-OzqpiEuXXu5bgSis2GeUt,CM-SU-022,,,
PAG-CqQmCk1rVXyiGUHFvxBAv,YCU23SMU791N,ユーザー登録,書き込み,page-signup insert
PAG-VjEdSRLsszVQXYVhYnHuR,CM-SU-040,ユーザー登録 住所氏名・種別選択,入力,page-signup {signup_key}
PAG-WywQVCjiQKlUus0VcSBq4,SZ9POZSA6LN8,ユーザー登録,書き込み,page-signup update
PAG-ZU8iq6vISDNzWcBvrcxbJ,CM-SU-060,ユーザー登録 同意事項,表示,page-signup {signup_key}
PAG-KwKmh6Iw8e3JsBNcAWQXt,CM-SU-070,ユーザー登録 決済リンク,表示,page-signup {signup_key}
PAG-HBxTvqZ8ZKBc8Qhq8v4jY,OBHNMG3AXS8G,,,
PAG-Ak7SS5Q2bpg19LqOEmES2,CM-EP-010,イプシロン 取引情報送信処理,,
PAG-A8UvUnHjVOpO7HTZ8znVE,CM-EP-020,イプシロン 取引登録エラー,,
PAG-XiHHVqvwrW83lwy1VNapT,CM-EP-030,イプシロン 取引結果受信処理,,
PAG-Wm5ptDAtYcYqkMVOk4Ubf,CM-SU-080,ユーザー登録 完了,表示,page-signup {signup_key}
PAG-ZBX5g8DI1QUwEoh72w5vc,CM-HM-000,サイトトップページ,,page- 
PAG-LjqFpngIiSUEc8FTR3VvI,CM-AT-000,ユーザー情報 メアド変更,認証,page-authorization {authorization_code}
PAG-XSc5iIVNIO6YX48yHqE97,CM-AT-001,,,
PAG-YlMKTh4oGmlrv8viOVwRq,MY-HM-000,ダッシュボード,表示,page-mypage dashboard
PAG-RW3pApuXhRJdO6ajCLzHO,MY-ST-000,登録状況,表示,page-mypage status
PAG-CcdaSm9shOPQXfCELZjWA,MY-AC-010,アカウント情報,表示,page-mypage account
PAG-SBAleA9eccBWpqJjqUAS2,MY-AC-020,アカウント情報,編集,page-mypage account
PAG-FrbG6i6RnwFUWGI1jTsfp,WY2CZZP6M0GS,アカウント情報,更新,page-mypage account
PAG-LZHw4hExtdaM9zNgaYZok,MY-AC-050,アカウント情報,メアド変更用,page-mypage account
PAG-Y9i7yNje4oHZa1Wx5ru4V,MY-AC-060,アカウント情報,メアド変更用,page-mypage account
